Designator,Mid X,Mid Y,Rotation,Layer
C1,9.2964,8.9154,180.0,top
C2,9.398,10.7188,180.0,top
C3,10.3886,1.27,180.0,top
C4,6.5786,3.175,-90.0,top
C5,4.95,3.175,90.0,top
C6,8.525,13.9,180.0,top
C7,3.28,17.24,-90.0,top
D1,5.9,13.85,-90.0,top
IC1,11.73,4.88,180.0,top
J1,12.5118,6.01,0.0,top
J2,-5.62,3.068,0.0,top
J3,12.4206,11.303,0.0,top
L1,3.7615,9.925,180.0,top
R1,15.1892,7.6962,0.0,top
R2,15.2014,2.1844,0.0,top
R3,7.8994,3.429,90.0,top
R4,9.017,3.427,90.0,top
R5,17.5006,14.7574,0.0,top
R6,16.4338,10.7696,0.0,top
SW2,10.9268,18.7688,180.0,top
U1,19.83232,0.14478,180.0,bottom
U2,13.3604,13.3858,90.0,top
